,title,description,job_level,languages,assessment_length,downloads,url,test_type
63,Apprentice 8.0 Job Focused Assessment,the apprentice 80 jobfocused assessment is a short targeted globally applicable assessment this assessment is designed for entrylevel positions appropriate for countries and industries that use an apprenticeship model it is intended to be used multinationally for organizations whose business spans across regions,entrylevel general population graduate,english international german french,20,"[{'name': 'Fact Sheet', 'url': 'https://service.shl.com/docs/Apprentice 8.0 JFA Fact Sheet.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Apprentice8.0_CandidateReport_INT.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Apprentice8.0_DetailedReport_INT.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Apprentice8.0_InterviewReport_INT.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Apprentice8.0_CandidateReport_DEU.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Apprentice8.0_DetailedReport_DEU.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Apprentice8.0_InterviewReport_DEU.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,b p
64,Bilingual Spanish Reservation Agent Solution,the bilingual reservation agent solution is designed for customer centered entrylevel positions within the hospitality industry sample tasks may include making updating or canceling hotel reservations made in english or spanish listening to customers speak spanish and entering information into a computer in english providing information on the hotel and the services offered potential job titles that use this solution are bilingual reservation agent customer service representative and reservationist multiple configurations of this solution are available,entrylevel,english usa latin american spanish,43,"[{'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Fact Sheet Hospitality Suite Bilingual Reservation Agent One Sitting_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,b p s a
65,Personal Banker - Short Form,the personal banker loan officer solution is for entry to midlevel financial institution positions sample tasks for this job would include but are not limited to acquiring retaining and expanding new and existing customer relationships discovering customer needs making the best recommendation completing sales proactively contacting meeting customers and asking for referrals,entrylevel midprofessional,english usa,30,"[{'name': 'Fact Sheet Personal Banker Loan Officer One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Personal Banker Loan Officer One Sitting_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/personal-banker-short-form/,a b k p s
66,Retail Sales Associate Solution,the retail sales associate solution is for entrylevel retail positions in which employees proactively sell products to customers and have their pay andor performance based on sales revenue sample tasks for these jobs include but are not limited to promoting products to customers persuading customers to buy products and completing a transaction with a customer potential job titles that use this solution are sales representative retail sales associate and sales clerk there are multiple configurations and versions of this solution available,entrylevel,english usa,29,"[{'name': 'Fact Sheet Retail Sales Associate One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Retail Sales Associate One Sitting _USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/retail-sales-associate-solution/,a b p
67,General Entry Level - All Industries 7.1 Solution,our general entry level all industries 71 solution is designed for entrylevel positions across industries this solution predicts the following types of behaviors foundational to all jobs being ontime to work following rules and policies treating others respectfully producing quality work meeting goals and effectively working alongside others solution can be used across all industries with entrylevel positions example titles include but are not limited to administrator clerk veterinary assistant stocker dish washer office coordinator tour guide cook assistant housekeeper waste collector mcp product please note that you will need to select the correct package depending on which norm you intend to use the package available for this product is americas and international,entrylevel,german norwegian finnish french canada portuguese brazil latin american spanish english usa english international danish swedish french italian,19,,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,b
68,VB.NET (New),multichoice test that measures the knowledge on the concepts of vbnet assemblies oops concepts adonet multithreading exception handling and gui,midprofessional professional individual contributor,english usa,10,"[{'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/VB.NET (New).pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/vb-net-new/,k
69,VLSI and Embedded Systems (New),multichoice test that measures the knowledge of vlsi and embedded systems basics,midprofessional professional individual contributor,english usa,9,"[{'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/VLSI and Embedded Systems (New).pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/vlsi-and-embedded-systems-new/,k
70,Manager 7.0 Solution,our manager 70 solution is designed for candidates applying to entrylevel leadership positions who tend to supervise salaried employees sample tasks for these jobs include but are not limited to planning projects with subordinates collaborating with senior managers on developing new methods and procedures coaching employees on performancerelated issues developing employees skills coordinating activities with other managers to accomplish organizational goals setting and meeting department goals prioritizing multiple tasks and priorities making selected strategic and daytoday decisions and solving employees and customers problems report language availability english usa latin american spanish,manager front line manager,french canada latin american spanish english international english usa,35,"[{'name': 'Sample Report – Detailed', 'url': 'https://service.shl.com/docs/Manager Candidate Detailed Report NAS.pdf', 'language': 'Multi-language'}, {'name': 'Sample Report – Development', 'url': 'https://service.shl.com/docs/Manager Candidate Development Report NAS.pdf', 'language': 'Multi-language'}, {'name': 'Sample Report – Interview', 'url': 'https://service.shl.com/docs/Manager Candidate Interview Report NAS.pdf', 'language': 'Multi-language'}, {'name': 'Sample Report – Detailed', 'url': 'https://service.shl.com/docs/Manager 7.0 Detailed Report.pdf', 'language': 'Multi-language'}, {'name': 'Sample Report – Development', 'url': 'https://service.shl.com/docs/Manager 7.0 Development Report.pdf', 'language': 'Multi-language'}, {'name': 'Sample Report – Interview', 'url': 'https://service.shl.com/docs/Manager 7.0 Interview Report.pdf', 'language': 'Multi-language'}, {'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Manager_7.0_FactSheet(USE).pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/,b c
71,Industrial Professional and Skilled 7.1 (Americas),our industrial professional and skilled 71 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in the workplace for specialized technical or professional industrial roles this solution assesses mechanical comprehension and other foundational behaviors including behaving safely and efficiently in the workplace installing repairing andor maintaining equipment and machinery making sound mechanical decisions maintaining an orderly work environment and producing high quality and reliable workimportant please note that you will need to select the correct package depending on which norm you intend to use the package available for this product is international and americas,entrylevel,portuguese brazil english usa french canada,49,"[{'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Industrial-ProfessionalandSkilled7.1_Americas_CandidateReport_CFR.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Industrial-ProfessionalandSkilled7.1_Americas_DetailedReport_CFR.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Industrial-ProfessionalandSkilled7.1_Americas_InterviewReport_CFR.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Industrial-ProfessionalandSkilled7.1_Americas_DetailedReport_USE.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Industrial-ProfessionalandSkilled7.1_Americas_InterviewReport_USE.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Industrial-ProfessionalandSkilled7.1_Americas_CandidateReport_USE.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Industrial-ProfessionalandSkilled7.1_Americas_CandidateReport_BRA.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Industrial-ProfessionalandSkilled7.1_Americas_DetailedReport_BRA.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Industrial-ProfessionalandSkilled7.1_Americas_InterviewReport_BRA.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,a b
72,Event Sales Manager Solution,the event sales manager solution is designed for management level positions in the hospitality industry sample tasks include selling use of facility space for special events and managing staff the solution is focused on sales solving problems and making good decisions potential job titles that use this solution are event sales manager events manager and special events manager multiple configurations of this solution are available,supervisor front line manager manager,english usa,50,"[{'name': 'Fact Sheet Hospitality Suite Event Sales Manager One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Hospitality Suite Event Sales Manager One Sitting_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/event-sales-manager-solution/,s a b p
73,Training Development,the training development test measures knowledge of developing and delivering training programs designed for experienced trainers this test covers the following topics analysis methods audience analysis design materials design strategy developing instructional materials general knowledge media project management plan purpose of training training delivery and writing instructional objectives,front line manager manager,english usa,15,"[{'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/BB_Fact_Sheet_TrainingDevelopment.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/training-development/,k
74,Entry Level Customer Service 7.1 (Americas),the entry level customer service solution retail and contact center 71 is for entrylevel positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services sample tasks for these jobs include but are not limited to interacting with customers on the phone or in person taking orders solving product or service issues and responding positively to difficult or irate customersimportant please note that you will need to select the correct package depending on which norm you intend to use the package available for this product is international south africa and americas,entrylevel,german finnish portuguese brazil english usa norwegian dutch arabic swedish french canada italian danish english international chinese simplified latin american spanish french,19,"[{'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_CandidateReport_INT.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_DetailedReport_INT.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_InterviewReport_INT.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_CandidateReport_CFR.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_DetailedReport_CFR.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_InterviewReport_CFR.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_CandidateReport_ELA.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_DetailedReport_ELA.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_InterviewReport_ELA.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_CandidateReport_USE.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_DetailedReport_USE.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_InterviewReport_USE.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_CandidateReport_ARB.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_DetailedReport_ARB.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_InterviewReport_ARB.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_CandidateReport_CHS.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_DetailedReport_CHS.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_InterviewReport_CHS.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_CandidateReport_DAN.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_DetailedReport_DAN.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_InterviewReport_DAN.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_CandidateReport_NED.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_DetailedReport_NED.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_InterviewReport_NED.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_CandidateReport_FIN.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_DetailedReport_FIN.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_InterviewReport_FIN.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_CandidateReport_FRA.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_DetailedReport_FRA.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_InterviewReport_FRA.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_CandidateReport_DEU.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_DetailedReport_DEU.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_InterviewReport_DEU.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_CandidateReport_ITA.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_DetailedReport_ITA.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_InterviewReport_ITA.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_CandidateReport_NOR.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_DetailedReport_NOR.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_InterviewReport_NOR.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_CandidateReport_SVE.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_DetailedReport_SVE.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_InterviewReport_SVE.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_CandidateReport_BRA.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_DetailedReport_BRA.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/EntryLevelCustomerService7.1_(Retail & ContactCenter)_Americas_InterviewReport_BRA.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,c p
75,Graduate 7.1 Job Focused Assessment,the graduate 71 job focused assessment is designed for professional level positions appropriate for recent college graduates,graduate,chinese simplified english usa french german english international italian japanese latin american spanish polish russian swedish dutch portuguese brazil,19,"[{'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate 7.1 sample interview report.pdf', 'language': 'Multi-language'}, {'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Graduate 7.0 Fact Sheet_USE.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_INT.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_INT.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_LAS.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_LAS.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport_LAS.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport CHS.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport CHS.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport CHS.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_JAP.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_JAP.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport_JAP.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_NED.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_NED.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport_NED.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_FRA.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_FRA.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport_FRA.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport DEU.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport DEU.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport DEU.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_ITA.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_ITA.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport_ITA.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_POL.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_POL.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport_POL.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_RUS.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_RUS.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport_RUS.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_SVE.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_SVE.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport_SVE.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport BRA.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport BRA.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport BRA.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/graduate-7-1-job-focused-assessment/,b c
76,Entry Level Sales Sift Out 7.1,the entry level sales sift out 71 solution is for entrylevel positions in which employees proactively sell products or services to customers and have their compensation andor performance based on sales revenue sample tasks for these jobs include but are not limited to promoting products to customers persuading customers to buy products and completing a transaction with a customer,entrylevel,swedish chinese simplified finnish english usa portuguese brazil french danish italian arabic dutch french canada latin american spanish english international norwegian german,20,,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,c p b
77,Universal Competency Framework Interview Guide,the ucf interview guide provides a structured way of gathering information about each candidate and their competency potential across the 20 ucf dimensions note simplified chinese guide is available from local office portuguese guide is available from distributor,director entrylevel executive front line manager manager midprofessional professional individual contributor,,,,https://www.shl.com/solutions/products/product-catalog/view/universal-competency-framework-interview-guide/,c p
78,Senior Sales Professional Solution,the senior sales professional solution is for highlevel sales positions in which employees proactively sell products to customers develop relationships with new or existing customers and have their pay andor performance heavily based on sales revenue sample tasks for these jobs include but are not limited to promoting products to customers consulting with and persuading customers to buy products and building ongoing customer relationships potential job titles that use this solution are senior sales representative business development manager and senior sales consultant multiple configurations of this solution are available,professional individual contributor,english usa,42,"[{'name': 'Fact Sheet Senior Sales Professional One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Senior Sales Professional One Sitting _USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/senior-sales-professional-solution/,a b p
79,Manager 8.0 JFA,the manager 80 jobfocused assessment is designed for candidates applying to their first leadership positions it measures behaviors that underlie successful performance in firstline manager roles across a wide range of industries it is most relevant to positions that supervise salaried employees this jfa includes the reskilling potential scale and the management potential scale the reskilling potential scale measures tendency to learn from experiences in a way that supports professional success the management potential scale measures the potential for managerial success across industry type and functional area,manager,english usa english international,26,"[{'name': 'Fact Sheet', 'url': 'https://service.shl.com/docs/Manager 8.0 JFA - Fact Sheet.docx', 'language': 'Multi-language'}, {'name': 'Fact Sheet', 'url': 'https://service.shl.com/docs/Manager 8.0 JFA - Fact Sheet.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager8.0_CandidateReport_UKE.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager8.0_DetailedReport_UKE.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager8.0_InterviewReport_UKE.pdf', 'language': 'Multi-language'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Manager8.0_CandidateReport_USE.pdf', 'language': 'Multi-language'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Manager8.0_InterviewReport_USE.pdf', 'language': 'Multi-language'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Manager8.0_DetailedReport_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa/,b k p
80,Proof Operator - Processing Specialist -Short Form,the proof operator processing specialist solution is for entrylevel positions that perform basic daily bank operations procedures such as the processing of deposits reconciling accounts and handling money transfers potential job titles include proof operator bank operations processor and operations specialist,entrylevel,english usa,30,"[{'name': 'Fact Sheet Proof Operator Processing Specialist One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Proof Operator Processing Specialist One Sitting_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/proof-operator-processing-specialist-short-form/,s
81,Service Associate Solution,the service associate is designed for entrylevel positions that are primarily task focused but may include a customer service component the solution covers a wide variety of support positions in the hospitality industry and sample tasks may include cleaning hotel rooms serving food at buffet lines parking cars andor delivering food to hotel rooms potential job titles that use this solution are housekeeper buffet server room service attendant and valet multiple configurations of this solution are available,entrylevel,english usa,38,"[{'name': 'Fact Sheet Hospitality Suite Service Associate One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Hospitality Suite Service Associate One Sitting_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/service-associate-solution/,a b p
82,Agency Manager Solution,the agency manager solution is for midlevel sales management positions that include front line management and sales responsibilities sample tasks for this job include but are not limited to directing and coordinating financial activities of workers in a branch office or department of an establishment such as branch bank brokerage firm risk and insurance department or credit department potential job titles that use this solution are agency manager brokerage manager multiple configurations of this solution are available,front line manager manager supervisor,english usa,51,"[{'name': 'Product fact sheet', 'url': 'https://service.shl.com/docs/Fact Sheet_ Agency Manager Solution One Sitting_USE.pdf', 'language': 'Multi-language'}]",https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,a b p s
